Date,Price,Open,High,Low,Vol.,Change %
10-Oct-13,1692.56,1660.88,1692.56,1660.88,-,2.18%
9-Oct-13,1656.4,1656.99,1662.47,1646.47,-,0.06%
8-Oct-13,1655.45,1676.22,1676.79,1655.03,-,-1.23%
7-Oct-13,1676.12,1687.15,1687.15,1674.7,-,-0.85%
4-Oct-13,1690.5,1678.79,1691.94,1677.33,-,0.71%
3-Oct-13,1678.66,1692.35,1692.35,1670.36,-,-0.90%
2-Oct-13,1693.87,1691.9,1693.87,1680.34,-,-0.07%
1-Oct-13,1695,1682.41,1696.55,1682.07,-,0.80%
30-Sep-13,1681.55,1687.26,1687.26,1674.99,-,-0.60%
27-Sep-13,1691.75,1695.52,1695.52,1687.11,-,-0.41%
26-Sep-13,1698.67,1694.05,1703.85,1693.11,-,0.35%
25-Sep-13,1692.77,1698.02,1701.71,1691.88,-,-0.27%
24-Sep-13,1697.42,1702.6,1707.63,1694.9,-,-0.26%
23-Sep-13,1701.84,1711.44,1711.44,1697.1,-,-0.47%
20-Sep-13,1709.91,1722.44,1725.23,1708.89,-,-0.72%
19-Sep-13,1722.34,1727.34,1729.86,1720.2,-,-0.18%
18-Sep-13,1725.52,1705.74,1729.44,1700.35,-,1.22%
17-Sep-13,1704.76,1697.73,1705.52,1697.73,-,0.42%
16-Sep-13,1697.6,1691.7,1704.95,1691.7,-,0.57%
13-Sep-13,1687.99,1685.04,1688.73,1682.22,-,0.27%
12-Sep-13,1683.42,1689.21,1689.97,1681.96,-,-0.34%
11-Sep-13,1689.13,1681.04,1689.13,1678.7,-,0.31%
10-Sep-13,1683.99,1674.32,1684.09,1674.32,-,0.73%
9-Sep-13,1671.71,1656.85,1672.4,1656.85,-,1.00%
6-Sep-13,1655.17,1657.44,1664.83,1640.62,-,0.01%
5-Sep-13,1655.08,1653.28,1659.17,1653.07,-,0.12%
4-Sep-13,1653.08,1640.72,1655.72,1637.41,-,0.81%
3-Sep-13,1639.77,1635.95,1651.35,1633.41,-,0.42%
30-Aug-13,1632.97,1638.89,1640.08,1628.05,-,-0.32%
29-Aug-13,1638.17,1633.5,1646.41,1630.88,-,0.20%
28-Aug-13,1634.96,1630.25,1641.18,1627.47,-,0.27%
27-Aug-13,1630.48,1652.54,1652.54,1629.05,-,-1.59%
26-Aug-13,1656.78,1664.29,1669.51,1656.02,-,-0.40%
23-Aug-13,1663.5,1659.92,1664.85,1654.81,-,0.39%
22-Aug-13,1656.96,1645.03,1659.55,1645.03,-,0.86%
21-Aug-13,1642.8,1650.66,1656.99,1639.43,-,-0.58%
20-Aug-13,1652.35,1646.81,1658.92,1646.08,-,0.38%
19-Aug-13,1646.06,1655.25,1659.18,1645.84,-,-0.59%
16-Aug-13,1655.83,1661.22,1663.6,1652.61,-,-0.33%
15-Aug-13,1661.32,1679.61,1679.61,1658.59,-,-1.43%
14-Aug-13,1685.39,1693.88,1695.52,1684.83,-,-0.52%
13-Aug-13,1694.16,1690.65,1696.81,1682.62,-,0.28%
12-Aug-13,1689.47,1688.37,1691.49,1683.35,-,-0.12%
9-Aug-13,1691.42,1696.1,1699.42,1686.02,-,-0.36%
8-Aug-13,1697.48,1693.35,1700.18,1688.38,-,0.39%
7-Aug-13,1690.91,1695.3,1695.3,1684.91,-,-0.38%
6-Aug-13,1697.37,1705.79,1705.79,1693.29,-,-0.57%
5-Aug-13,1707.14,1708.01,1709.24,1703.55,-,-0.15%
2-Aug-13,1709.67,1706.1,1709.67,1700.68,-,0.16%
1-Aug-13,1706.87,1689.42,1707.85,1689.42,-,1.25%
31-Jul-13,1685.73,1687.76,1698.43,1684.94,-,-0.01%
30-Jul-13,1685.96,1687.92,1693.19,1682.42,-,0.04%
